order_id,product,quantity,price,order_date,region
1,Widget A,10,25.00,2024/01/15,us-west
2,Widget B,,30.00,01-22-2024,US-EAST
3,Widget A,5,25.00,2024/01/15,us-west
3,Widget A,5,25.00,2024/01/15,us-west
4,Gadget C,2,150.00,2024/02/03,us-central
5,Widget B,8,30.00,02/10/2024,US-West
6,Gadget C,,150.00,2024/02/14,US-CENTRAL
7,Doohickey D,3,75.50,2024/03/01,us-east
8,Widget A,12,25.00,03-15-2024,US-WEST
9,Thingamajig E,1,200.00,2024/03/22,us-west
10,Widget B,6,30.00,2024/03/28,us-east
11,Gadget C,4,150.00,04/02/2024,US-East
12,Doohickey D,,75.50,2024/04/10,us-central
13,Widget A,20,25.00,2024/04/18,us-west
13,Widget A,20,25.00,2024/04/18,us-west
14,Thingamajig E,2,200.00,04-25-2024,US-WEST
15,Widget B,15,30.00,2024/05/03,us-east
16,Gadget C,7,150.00,2024/05/11,US-CENTRAL
17,Widget A,,25.00,05/19/2024,us-central
18,Doohickey D,9,75.50,2024/05/27,us-west
19,Thingamajig E,3,200.00,2024/06/04,US-East
20,Widget B,11,30.00,06-12-2024,us-west
21,Widget A,6,25.00,2024/06/20,US-EAST
22,Gadget C,5,150.00,2024/06/28,us-east
23,Doohickey D,2,75.50,07/06/2024,US-West
24,Widget B,,30.00,2024/07/14,us-central
25,Thingamajig E,4,200.00,2024/07/22,US-CENTRAL
26,Widget A,18,25.00,2024/07/30,us-east
27,Gadget C,3,150.00,08-07-2024,us-west
28,Doohickey D,7,75.50,2024/08/15,US-EAST
29,Widget B,9,30.00,2024/08/23,us-central
30,Widget A,14,25.00,08/31/2024,US-West
31,Thingamajig E,,200.00,2024/09/08,us-east
32,Gadget C,6,150.00,2024/09/16,US-WEST
33,Widget B,4,30.00,09-24-2024,us-west
34,Doohickey D,11,75.50,2024/10/02,US-Central
35,Widget A,8,25.00,2024/10/10,us-east
36,Thingamajig E,5,200.00,10/18/2024,us-central
37,Widget B,13,30.00,2024/10/26,US-EAST
38,Gadget C,,150.00,2024/11/03,us-west
39,Widget A,16,25.00,2024/11/11,US-West
40,Doohickey D,4,75.50,11-19-2024,us-east
41,Thingamajig E,2,200.00,2024/11/27,US-CENTRAL
42,Widget B,7,30.00,2024/12/05,us-central
43,Widget A,11,25.00,12/13/2024,US-East
44,Gadget C,9,150.00,2024/12/21,us-west
45,Doohickey D,,75.50,2024/12/29,US-EAST
46,Widget B,3,30.00,2024/01/07,us-east
47,Thingamajig E,6,200.00,01/15/2024,US-West
48,Widget A,22,25.00,2024/01/23,us-central
48,Widget A,22,25.00,2024/01/23,us-central
49,Gadget C,1,150.00,2024/01/31,US-EAST
50,Doohickey D,8,75.50,02-08-2024,us-west
